folio,caja,usuario,fecha,cantidad,producto,importe,valor,utilidad
45678,Caja 1,JENNY,01/01/2025,,,13.00,4.74,8.26
,,,,1.00,Encendedor Tokay 1pza,13.00,4.74,8.26
45679,Caja 1,JENNY,01/01/2025,,,46.00,39.42,6.58
,,,,1.00,Familiar XL 600hjas 4rollos,31.00,26.84,4.16
,,,,1.00,Nescafe Dolca 22gr Sobre Grande,15.00,12.58,2.42
45680,Caja 1,JENNY,01/01/2025,,,28.00,17.70,10.30
,,,,2.00,TMGN COFFE Cafe De Olla Omnilife,28.00,17.70,10.30
45681,Caja 1,JENNY,01/01/2025,,,71.00,65.01,5.99
,,,,1.00,HUEVO CRIO CONO 30PZ,71.00,65.01,5.99
45682,Caja 1,JENNY,01/01/2025,,,41.00,33.54,7.46
,,,,1.00,Patrona 500 ml,21.00,17.54,3.46
,,,,1.00,Masamex 1k,20.00,16.00,4.00
45683,Caja 1,JENNY,01/01/2025,,,77.00,56.61,20.39
,,,,2.00,Regalo Chico Caballero,32.00,21.40,10.60
,,,,1.00,Engrapadora Mini Smart Art10211,45.00,35.21,9.79
45684,Caja 1,JENNY,01/01/2025,,,52.50,40.04,12.46
,,,,1.00,Sedalmerck Max Par,12.00,7.93,4.07
,,,,1.00,Chile Chipotle La Morena 210g,26.00,22.16,3.84
,,,,1.00,Mantequilla Villita 90gr,14.50,9.95,4.55
45685,Caja 1,JENNY,01/01/2025,,,45.00,34.19,10.81
,,,,1.00,Papel Aluminio Maxima 50mts,45.00,34.19,10.81
45686,Caja 1,JENNY,01/01/2025,,,49.50,31.89,17.61
,,,,5.00,Papel Crepe,37.50,28.65,8.85
,,,,3.00,Papel China Varios Colores,12.00,3.24,8.76
45687,Caja 1,JENNY,01/01/2025,,,41.00,32.76,8.24
,,,,1.00,Sidral Munded Jumbo 3 Lts,41.00,32.76,8.24
45688,Caja 1,JENNY,01/01/2025,,,15.00,12.58,2.42
,,,,1.00,Nescafe Dolca 22gr Sobre Grande,15.00,12.58,2.42
45689,Caja 1,JENNY,01/01/2025,,,80.00,1.00,79.00
,,,,1.00,Chip Telcel Con Saldo Activado 50 Saldo,80.00,1.00,79.00
45690,Caja 1,JENNY,01/01/2025,,,30.00,24.24,5.76
,,,,1.00,Axion 720gr,30.00,24.24,5.76
45691,Caja 1,JENNY,01/01/2025,,,19.00,15.00,4.00
,,,,1.00,Amper Blueberry energy 473ml,19.00,15.00,4.00
45692,Caja 1,JENNY,01/01/2025,,,81.00,66.31,14.69
,,,,1.00,Premier Higienico 425 Hjs,31.00,24.76,6.24
,,,,1.00,Saladita 186GM,20.00,17.08,2.92
,,,,1.00,Mantecadas Vainilla C/6pzas 187.5gr,30.00,24.47,5.53
45693,Caja 1,JENNY,01/01/2025,,,2.00,0.81,1.19
,,,,1.00,Bolsa Asa Grande venta individual 1pz,2.00,0.81,1.19
45694,Caja 1,JENNY,01/01/2025,,,14.00,12.01,1.99
,,,,1.00,Chile Chipotles Costeña 105g,14.00,12.01,1.99
45695,Caja 1,JENNY,01/01/2025,,,19.00,14.11,4.89
,,,,1.00,Peñafiel Agua Mineralizada 600,19.00,14.11,4.89
45696,Caja 1,JENNY,01/01/2025,,,49.00,39.90,9.10
,,,,1.00,Pepsi 2Lt 127,34.00,27.06,6.94
,,,,1.00,Fritos Sal Y Limon 60g,15.00,12.84,2.16
45697,Caja 1,JENNY,01/01/2025,,,62.00,47.56,14.44
,,,,1.00,Axion Liquido 400ml,21.00,17.23,3.77
,,,,4.00,Bolsa Basura Grande 1pza,36.00,27.16,8.84
,,,,1.00,Fibra Espiral chica,5.00,3.17,1.83
45698,Caja 1,JENNY,01/01/2025,,,17.00,12.84,4.16
,,,,1.00,ruffles mega crunch jalapeño 42g,17.00,12.84,4.16
45699,Caja 1,JENNY,01/01/2025,,,19.00,14.17,4.83
,,,,1.00,Valle Frut Citrus 600ML 330683,19.00,14.17,4.83
45700,Caja 1,JENNY,01/01/2025,,,69.00,51.63,17.37
,,,,1.00,Plato Con Division,20.00,16.02,3.98
,,,,1.00,Tenedor Chico 50pzas,13.00,9.25,3.75
