folio,caja,usuario,fecha,cantidad,producto,importe,valor,utilidad
,,,,1.00,Vaso de Plastico del #10 Paq 50vasos,36.00,26.36,9.64
45701,Caja 1,JENNY,01/01/2025,,,107.00,91.79,15.21
,,,,1.00,Plato Largo Convermex 855,25.00,19.49,5.51
,,,,1.00,CIGARROS MARLBORO ROJO CORTOS 20PZ,82.00,72.30,9.70
45702,Caja 1,JENNY,01/01/2025,,,25.00,21.69,3.31
,,,,1.00,Electrolit Coco 625ml,25.00,21.69,3.31
45703,Caja 1,JENNY,01/01/2025,,,38.00,30.19,7.81
,,,,1.00,Takis Salsa Brava 68g,19.00,14.40,4.60
,,,,1.00,Big Mix Queso 75g,19.00,15.79,3.21
45704,Caja 1,JENNY,01/01/2025,,,55.00,44.48,10.52
,,,,1.00,Pedigree Cachorro 1kg,55.00,44.48,10.52
45705,Caja 1,JENNY,01/01/2025,,,10.00,6.50,3.50
,,,,2.00,Aspirina Efervescente C/U,10.00,6.50,3.50
45706,Caja 1,JENNY,01/01/2025,,,435.00,421.54,13.46
,,,,1.00,Chicharos Clemente Jacques 220gr,11.00,8.14,2.86
,,,,2.00,COCA RETORNABLE 3LTS PAQ 6PZA,424.00,413.40,10.60
45707,Caja 1,JENNY,01/01/2025,,,6.00,3.47,2.53
,,,,1.00,Cigarro Marlboro Individual 1Pza,6.00,3.47,2.53
45708,Caja 1,JENNY,01/01/2025,,,54.00,44.00,10.00
,,,,0.50,Queso Fresco,54.00,44.00,10.00
45709,Caja 1,JENNY,01/01/2025,,,399.00,239.00,160.00
,,,,1.00,Senwa Disco S301A ICSI 281024,399.00,239.00,160.00
45710,Caja 1,JENNY,01/01/2025,,,50.00,36.32,13.68
,,,,2.00,Electrolit Uva 625 Ml,50.00,36.32,13.68
45711,Caja 1,JENNY,01/01/2025,,,12.00,6.94,5.06
,,,,2.00,Cigarro Marlboro Individual 1Pza,12.00,6.94,5.06
45712,Caja 1,JENNY,01/01/2025,,,3.00,1.52,1.48
,,,,2.00,Clorets Menta 2.8gr 2Pastillas,3.00,1.52,1.48
45713,Caja 1,JENNY,01/01/2025,,,479.00,457.62,21.38
,,,,1.00,PEPSI 3LTS PAQ 8PZ,267.00,250.92,16.08
,,,,1.00,COCA RETORNABLE 3LTS PAQ 6PZA,212.00,206.70,5.30
45714,Caja 1,JENNY,01/01/2025,,,27.50,18.77,8.73
,,,,2.00,Cartulina Fluorescente Verde,20.00,13.04,6.96
,,,,1.00,Papel Crepe,7.50,5.73,1.77
45715,Caja 1,JENNY,01/01/2025,,,9.00,4.68,4.32
,,,,3.00,Silicon Delgado Barra Individual,9.00,4.68,4.32
45716,Caja 1,JENNY,01/01/2025,,,74.00,53.02,20.98
,,,,2.00,Platanitos Fritos Y Chicharrones (bananitas),38.00,30.00,8.00
,,,,2.00,Chivacola Botella Omnilife 600ml,36.00,23.02,12.98
45717,Caja 1,JENNY,01/01/2025,,,2.00,0.81,1.19
,,,,1.00,Bolsa Asa Grande venta individual 1pz,2.00,0.81,1.19
45718,Caja 1,JENNY,01/01/2025,,,165.00,145.00,20.00
,,,,1.00,BOLSA PIÑATERA SONRICS 1.4KG,165.00,145.00,20.00
45719,Caja 1,JENNY,01/01/2025,,,80.00,67.37,12.63
,,,,1.00,Coca Jumbo 3lts 4745,49.00,41.74,7.26
,,,,1.00,Peñafiel  Naranjada 2L,31.00,25.63,5.37
45720,Caja 1,JENNY,01/01/2025,,,18.00,14.55,3.45
,,,,1.00,Sabritas Flamin Hot 45gm,18.00,14.55,3.45
45721,Caja 1,JENNY,01/01/2025,,,48.00,42.17,5.83
,,,,1.00,Mediacrema Lala 480ml,28.00,24.62,3.38
,,,,1.00,Nutrileche 1pza,20.00,17.55,2.45
45722,Caja 1,JENNY,01/01/2025,,,20.00,16.30,3.70
,,,,0.19,Queso Fresco,20.00,16.30,3.70
45723,Caja 1,JENNY,01/01/2025,,,139.00,109.22,29.78
,,,,1.00,Fanta Jumbo Fresa 3lts,41.00,32.76,8.24
,,,,1.00,Pepsi Jumbo 3Lt,40.00,31.35,8.65
,,,,1.00,Tendedero Cafe/Bco,17.00,12.35,4.65
,,,,1.00,Sidral Munded Jumbo 3 Lts,41.00,32.76,8.24
45724,Caja 1,JENNY,01/01/2025,,,47.00,38.23,8.77
,,,,1.00,Chile En Rajas La Costeña 220g,17.00,12.27,4.73
,,,,0.24,Queso De Hebra,30.00,25.96,4.04
45725,Caja 1,JENNY,01/01/2025,,,372.00,314.70,57.30
,,,,6.00,Importe Botella,60.00,18.00,42.00
,,,,1.00,COCA RETORNABLE 3LTS PAQ 6PZA,212.00,206.70,5.30
,,,,1.00,Reja de coca sin botella para 3lts Ret,100.00,90.00,10.00
45726,Caja 1,JENNY,01/01/2025,,,48.00,42.00,6.00
,,,,1.00,Epura Garrafon 20 Lts,48.00,42.00,6.00
45727,Caja 1,JENNY,01/01/2025,,,7.00,5.36,1.64
,,,,1.00,Cerillo Flama Grande,7.00,5.36,1.64
45728,Caja 1,JENNY,01/01/2025,,,28.00,17.70,10.30
,,,,2.00,TMGN COFFE Cafe De Olla Omnilife,28.00,17.70,10.30
45729,Caja 1,JENNY,01/01/2025,,,119.00,94.79,24.21
,,,,2.00,Maruchan Camaron Habanero S/Preparar,36.00,27.42,8.58
,,,,1.00,Cremax Chocolate 213g,31.00,25.42,5.58
,,,,1.00,Marias Gamesa 1pz 7500478010592,14.00,11.73,2.27
,,,,1.00,Big Mix Fuego 75g,19.00,15.56,3.44
,,,,1.00,Takis Fuego Mas Picante 65g,19.00,14.66,4.34
45730,Caja 1,JENNY,01/01/2025,,,18.00,10.41,7.59
,,,,3.00,Cigarro Marlboro Individual 1Pza,18.00,10.41,7.59
45731,Caja 1,JENNY,01/01/2025,,,56.00,43.70,12.30
,,,,2.00,DONITAS-CHECHITOS-KIKYS BOLSA 25PZA,56.00,43.70,12.30
45732,Caja 1,JENNY,01/01/2025,,,41.00,34.84,6.16
,,,,1.00,Patrona 500 ml,21.00,17.54,3.46
,,,,0.16,Queso De Hebra,20.00,17.30,2.70
45733,Caja 1,JENNY,01/01/2025,,,67.00,54.34,12.66
,,,,1.00,Crujitos Queso Chile 42gr,15.00,12.84,2.16
,,,,1.00,Doritos Nacho 61gr,18.00,14.55,3.45
,,,,1.00,Rancheritos 60g El Mero Mero,15.00,12.70,2.30
,,,,1.00,Takis original mas 70 gr,19.00,14.25,4.75
45734,Caja 1,JENNY,01/01/2025,,,22.00,16.80,5.20
,,,,1.00,Principe Chocolate +2,22.00,16.80,5.20
45735,Caja 1,JENNY,01/01/2025,,,49.00,41.74,7.26
,,,,1.00,Coca Jumbo 3lts 4745,49.00,41.74,7.26
45736,Caja 1,JENNY,01/01/2025,,,31.00,25.63,5.37
,,,,1.00,Peñafiel  Naranjada 2L,31.00,25.63,5.37
45737,Caja 1,JENNY,01/01/2025,,,87.50,70.68,16.82
,,,,1.00,Mayonesa #4 105g,19.00,15.68,3.32
,,,,0.50,Pedigree Cachorro 1kg,27.50,22.24,5.26
,,,,1.00,Sidral Munded Jumbo 3 Lts,41.00,32.76,8.24
45738,Caja 1,JENNY,01/01/2025,,,57.00,40.46,16.54
,,,,1.00,Power Mora 1 Lt,32.00,23.38,8.62
,,,,1.00,Electrolit Fresa kiwi 625ml,25.00,17.08,7.92
45739,Caja 1,JENNY,01/01/2025,,,20.00,8.90,11.10
,,,,10.00,Caramelo De aniz y menta Individual,20.00,8.90,11.10
45740,Caja 1,JENNY,01/01/2025,,,31.00,24.84,6.16
,,,,1.00,Leche Nito Bebida Chocolate 236G,14.00,11.58,2.42
,,,,1.00,Paleta Payaso 45g,17.00,13.26,3.74
45741,Caja 1,JENNY,01/01/2025,,,55.20,43.95,11.25
,,,,1.00,Sabritas Sal Original 45g,18.00,14.55,3.45
,,,,1.00,Canelitas Marinela 120g,21.00,16.80,4.20
,,,,1.00,Macarena 108 GR,16.20,12.60,3.60
45742,Caja 1,JENNY,01/01/2025,,,67.00,54.53,12.47
,,,,1.00,Barritas Moras 67gr,17.00,13.44,3.56
,,,,1.00,Cheetos Bolita Hornedo 42g,14.00,11.99,2.01
,,,,1.00,Doritos Pizzerolas 61g,18.00,14.55,3.45
,,,,1.00,Ruffles Queso 52g,18.00,14.55,3.45
45743,Caja 1,JENNY,01/01/2025,,,36.00,29.50,6.50
,,,,1.00,Fanta Fresa 600ml,19.00,15.13,3.87
,,,,1.00,Snickers 52g 1pza,17.00,14.37,2.63
45744,Caja 1,JENNY,01/01/2025,,,213.00,184.41,28.59
,,,,1.00,CHUPADEDO BOLSA 309Z 660GR,68.00,61.89,6.11
,,,,1.00,BUBBALOO PIK POP MANGO CHAMOY 40PZ,76.00,68.52,7.48
,,,,1.00,BOMBA SANDIA 40PZ,69.00,54.00,15.00
45745,Caja 1,JENNY,01/01/2025,,,10.00,8.66,1.34
,,,,1.00,Carlos V 18g,10.00,8.66,1.34
45746,Caja 1,JENNY,01/01/2025,,,40.00,31.35,8.65
,,,,1.00,Pepsi Jumbo 3Lt,40.00,31.35,8.65
45747,Caja 1,JENNY,01/01/2025,,,37.00,29.88,7.12
,,,,1.00,Pan Bimbo blanco Chico 360gr,37.00,29.88,7.12
45748,Caja 1,JENNY,01/01/2025,,,46.00,33.82,12.18
,,,,1.00,Coca Retornable 2.5 Lts,37.00,30.16,6.84
,,,,6.00,Maxair Menta 2.8gr 2pastillas,9.00,3.66,5.34
45749,Caja 1,JENNY,01/01/2025,,,12.50,9.01,3.49
,,,,1.00,Zote Rosa 200g,12.50,9.01,3.49
45750,Caja 1,JENNY,01/01/2025,,,124.00,76.92,47.08
,,,,1.00,Pan bimbo Blanco Grande 640g,50.00,39.01,10.99
,,,,1.00,Cotonetes Kiuts Sobre,4.00,2.91,1.09
,,,,1.00,Cable Tipo C a Iphone,70.00,35.00,35.00
45751,Caja 1,JENNY,01/01/2025,,,80.00,1.00,79.00
,,,,1.00,Chip Telcel Con Saldo Activado 50 Saldo,80.00,1.00,79.00
45752,Caja 1,JENNY,01/01/2025,,,28.00,22.31,5.69
,,,,1.00,Mayonesa #8 190g,28.00,22.31,5.69
45753,Caja 1,JENNY,01/01/2025,,,108.00,88.74,19.26
,,,,1.00,Coca Jumbo 3lts 4745,49.00,41.74,7.26
,,,,1.00,Valle Frut Citrus 600ML 330683,19.00,14.17,4.83
,,,,1.00,Jamon Americano Pavo 196g 2364,40.00,32.83,7.17
45754,Caja 1,JENNY,01/01/2025,,,19.00,15.68,3.32
,,,,1.00,Mayonesa #4 105g,19.00,15.68,3.32
45755,Caja 1,JENNY,01/01/2025,,,160.00,75.00,85.00
,,,,1.00,Cargador Iphone USB5W,160.00,75.00,85.00
45756,Caja 1,JENNY,01/01/2025,,,57.00,42.92,14.08
,,,,1.00,Agua Ciel 1lt 310883,15.00,9.51,5.49
,,,,1.00,Coca Lata 355ml,21.00,16.86,4.14
,,,,1.00,Submarinos Chocolate,21.00,16.55,4.45
45757,Caja 1,JENNY,01/01/2025,,,39.00,34.45,4.55
,,,,1.00,Coca Retornable 3LTS 3068,39.00,34.45,4.55
45758,Caja 1,JENNY,01/01/2025,,,85.00,65.17,19.83
,,,,1.00,Agua Ciel 600ml 307906,13.00,7.77,5.23
,,,,1.00,Yoplait Licuado De Fresa 470gm 9534,25.50,21.00,4.50
,,,,1.00,Yogurth Yoplait Fresa 470gr 9757,24.50,20.00,4.50
,,,,2.00,Concha vainilla 1pz 60g,22.00,16.40,5.60
45759,Caja 1,JENNY,01/01/2025,,,999.60,976.50,23.10
,,,,1050.00,MASTER XTREME MAYOREO RECARGA,999.60,976.50,23.10
45760,Caja 1,JENNY,01/01/2025,,,32.00,26.51,5.49
,,,,1.00,Cheetos Torcido Naranja 52g,14.00,11.96,2.04
,,,,1.00,Ruffles Sal Original 52gr,18.00,14.55,3.45
45761,Caja 1,JENNY,01/01/2025,,,93.00,78.61,14.39
,,,,1.00,Wildrot 100ml,38.00,31.11,6.89
,,,,1.00,Dove Barra Original 48h 45g,55.00,47.50,7.50
45762,Caja 1,JENNY,01/01/2025,,,21.00,18.82,2.18
,,,,1.00,RAIDOLITO VERDE PAQ 10PZ,21.00,18.82,2.18
45763,Caja 1,JENNY,01/01/2025,,,39.00,34.45,4.55
,,,,1.00,Coca Retornable 3LTS 3068,39.00,34.45,4.55
45764,Caja 1,JENNY,01/01/2025,,,275.00,256.55,18.45
,,,,5.00,Envios De Recargas,5.00,0.05,4.95
,,,,270.00,RECARGAS XTREME (MULTICEL-MINISUPER),270.00,256.50,13.50
45765,Caja 1,JENNY,02/01/2025,,,15.00,11.86,3.14
,,,,1.00,Coca Cola 400ml,15.00,11.86,3.14
45766,Caja 1,JENNY,02/01/2025,,,10.00,4.24,5.76
,,,,2.00,Bolsa Basura Mediana 1pza,10.00,4.24,5.76
45767,Caja 1,JENNY,02/01/2025,,,39.00,34.45,4.55
,,,,1.00,Coca Retornable 3LTS 3068,39.00,34.45,4.55
45768,Caja 1,JENNY,02/01/2025,,,1.50,0.76,0.74
,,,,1.00,Clorets Menta 2.8gr 2Pastillas,1.50,0.76,0.74
45769,Caja 1,JENNY,02/01/2025,,,1.50,0.76,0.74
,,,,1.00,Clorets Menta 2.8gr 2Pastillas,1.50,0.76,0.74
45770,Caja 1,JENNY,02/01/2025,,,28.00,17.70,10.30
,,,,2.00,TMGN COFFE Cafe De Olla Omnilife,28.00,17.70,10.30
45771,Caja 1,JENNY,02/01/2025,,,15.00,11.86,3.14
,,,,1.00,Coca Cola 400ml,15.00,11.86,3.14
45772,Caja 1,JENNY,02/01/2025,,,19.00,12.36,6.64
,,,,0.25,Bolsa Natural 20x30 Para Kg,19.00,12.36,6.64
45773,Caja 1,JENNY,02/01/2025,,,1400.03,1367.10,32.93
,,,,1470.00,MASTER TMAC MAYOREO RECARGA,1400.03,1367.10,32.93
45774,Caja 1,JENNY,02/01/2025,,,48.00,31.72,16.28
,,,,4.00,Sedalmerck Max Par,48.00,31.72,16.28
45775,Caja 1,JENNY,02/01/2025,,,8.00,5.72,2.28
,,,,1.00,Vogue Higienico De Rollo Ind,8.00,5.72,2.28
45776,Caja 1,JENNY,02/01/2025,,,944.00,893.32,50.68
,,,,2.00,COCA COLA 2.5LT RET PAQ 8PZ,520.00,479.92,40.08
,,,,2.00,COCA RETORNABLE 3LTS PAQ 6PZA,424.00,413.40,10.60
45777,Caja 1,JENNY,02/01/2025,,,47.00,39.04,7.96
,,,,1.00,HUEVO CRIO 1/2 CONO,37.00,32.52,4.48
,,,,1.00,Cartulina Fluorescente Verde,10.00,6.52,3.48
45778,Caja 1,JENNY,02/01/2025,,,108.00,98.49,9.51
,,,,1.00,Frijol Michigan Mustang Kg,37.00,33.48,3.52
,,,,1.00,HUEVO CRIO CONO 30PZ,71.00,65.01,5.99
45779,Caja 1,JENNY,02/01/2025,,,37.00,32.52,4.48
,,,,1.00,HUEVO CRIO 1/2 CONO,37.00,32.52,4.48
45780,Caja 1,JENNY,02/01/2025,,,7.00,5.36,1.64
,,,,1.00,Cerillo Flama Grande,7.00,5.36,1.64
45781,Caja 1,JENNY,02/01/2025,,,20.00,10.76,9.24
,,,,2.00,Treda 129mg C/U,20.00,10.76,9.24
45782,Caja 1,JENNY,02/01/2025,,,25.00,17.08,7.92
,,,,1.00,Electrolit Fresa kiwi 625ml,25.00,17.08,7.92
45783,Caja 1,JENNY,02/01/2025,,,1108.00,1066.76,41.24
,,,,1.00,COCA COLA 2.5LT RET PAQ 8PZ,260.00,239.96,20.04
,,,,4.00,COCA RETORNABLE 3LTS PAQ 6PZA,848.00,826.80,21.20
45784,Caja 1,JENNY,02/01/2025,,,16.00,14.20,1.80
,,,,1.00,Saba Protectores Sabila 16pzas,16.00,14.20,1.80
45785,Caja 1,JENNY,02/01/2025,,,49.00,41.74,7.26
,,,,1.00,Coca Jumbo 3lts 4745,49.00,41.74,7.26
45786,Caja 1,JENNY,02/01/2025,,,150.00,79.00,71.00
,,,,1.00,Cable USB2.0 C 1HORA,50.00,20.00,30.00
,,,,1.00,Cubo 1Hora Doble Entrada 20w Gar.161,100.00,59.00,41.00
45787,Caja 1,JENNY,02/01/2025,,,5.00,2.12,2.88
,,,,1.00,Bolsa Basura Mediana 1pza,5.00,2.12,2.88
45788,Caja 1,JENNY,02/01/2025,,,28.00,17.70,10.30
,,,,2.00,TMGN COFFE Cafe De Olla Omnilife,28.00,17.70,10.30
45789,Caja 1,JENNY,02/01/2025,,,16.00,13.15,2.85
,,,,1.00,Diavolin,16.00,13.15,2.85
45790,Caja 1,JENNY,02/01/2025,,,19.00,15.14,3.86
,,,,1.00,Fanta Naranja 600ml,19.00,15.14,3.86
45791,Caja 1,JENNY,02/01/2025,,,39.00,31.87,7.13
,,,,1.00,Coca Cola 600ml,20.00,16.87,3.13
,,,,1.00,Senzao Guarana 600ml 8330,19.00,15.00,4.00
45792,Caja 1,JENNY,02/01/2025,,,54.50,44.19,10.31
,,,,1.00,Emperador Vainilla 86g 101113,19.00,15.25,3.75
,,,,1.00,Yoplait Licuado De Fresa 470gm 9534,25.50,21.00,4.50
,,,,1.00,Alpura Chocolate 200ml Chocopower,10.00,7.94,2.06
45793,Caja 1,JENNY,02/01/2025,,,350.00,149.00,201.00
,,,,1.00,Bluetooth Estuche 1Hora,350.00,149.00,201.00
45794,Caja 1,JENNY,02/01/2025,,,25.00,17.08,7.92
,,,,1.00,Electrolit Fresa kiwi 625ml,25.00,17.08,7.92
45795,Caja 1,JENNY,02/01/2025,,,22.00,16.80,5.20
,,,,1.00,Principe Chocolate +2,22.00,16.80,5.20
45796,Caja 1,JENNY,02/01/2025,,,499.80,488.25,11.55
,,,,525.00,MASTER XTREME MAYOREO RECARGA,499.80,488.25,11.55
45797,Caja 1,JENNY,02/01/2025,,,64.00,46.64,17.36
,,,,1.00,Power Frutas 1 Lt 317660,32.00,23.26,8.74
,,,,1.00,Power Mora 1 Lt,32.00,23.38,8.62
45798,Caja 1,JENNY,02/01/2025,,,2.00,1.98,0.02
,,,,2.00,Bombon Individual,2.00,1.98,0.02
45799,Caja 1,JENNY,02/01/2025,,,3.00,2.97,0.03
,,,,3.00,Bombon Individual,3.00,2.97,0.03
45800,Caja 1,JENNY,02/01/2025,,,5.00,4.95,0.05
,,,,5.00,Bombon Individual,5.00,4.95,0.05
45801,Caja 1,JENNY,02/01/2025,,,70.00,58.13,11.87
,,,,4.00,Huevo Crio Individual 1pza,12.00,8.68,3.32
,,,,1.00,Nutrileche 1pza,20.00,17.55,2.45
,,,,1.00,Pancrema 151g,13.00,10.07,2.93
,,,,1.00,Ensueño Max F Primavera Zero Enjuague 850ml,25.00,21.83,3.17
45802,Caja 1,JENNY,02/01/2025,,,3.00,1.74,1.26
,,,,3.00,Caramelo Milkaramel ind,3.00,1.74,1.26
45803,Caja 1,JENNY,02/01/2025,,,2.00,0.89,1.11
,,,,1.00,Caramelo De aniz y menta Individual,2.00,0.89,1.11
45804,Caja 1,JENNY,02/01/2025,,,5.00,2.90,2.10
,,,,5.00,Caramelo Milkaramel ind,5.00,2.90,2.10
45805,Caja 1,JENNY,02/01/2025,,,14.00,11.96,2.04
,,,,1.00,Cheetos Torcido Naranja 52g,14.00,11.96,2.04
45806,Caja 1,JENNY,02/01/2025,,,4.00,3.96,0.04
,,,,4.00,Bombon Individual,4.00,3.96,0.04
45807,Caja 1,JENNY,02/01/2025,,,18.00,10.41,7.59
,,,,3.00,Cigarro Marlboro Individual 1Pza,18.00,10.41,7.59
45808,Caja 1,JENNY,02/01/2025,,,199.00,156.57,42.43
,,,,1.00,Fresca 600ml,19.00,15.16,3.84
,,,,2.00,Vogue Higienico De Rollo Ind,16.00,11.44,4.56
,,,,1.00,Chips Jalapeño 170g,52.00,42.00,10.00
,,,,1.00,Paketaxo Quexo Gde  200gm,53.00,44.80,8.20
,,,,1.00,Nectar Valle Claro Manzana 1lt,30.00,24.17,5.83
,,,,1.00,Nectar Valle Piña 1L,29.00,19.00,10.00
45809,Caja 1,JENNY,02/01/2025,,,6.00,0.00,6.00
,,,,1.00,Caja Vacia De Huevo,6.00,0.00,6.00
45810,Caja 1,JENNY,02/01/2025,,,96.00,77.77,18.23
,,,,1.00,Bombonete 55g,13.00,9.24,3.76
,,,,1.00,Churrumais Flamas 60gr 7500478042319,14.00,11.13,2.87
,,,,1.00,Ruffles Queso 185g,53.00,44.80,8.20
,,,,1.00,Papas Barcel Toreadas 45gr,16.00,12.60,3.40
45811,Caja 1,JENNY,02/01/2025,,,15.00,8.55,6.45
,,,,5.00,Bubbaloo Paleta Pik Pop Mango Chamoy 1pz,15.00,8.55,6.45
45812,Caja 1,JENNY,02/01/2025,,,30.00,19.22,10.78
,,,,2.00,Bubbaloo Paleta Xtreme Fresa 1Pz,10.00,7.12,2.88
,,,,1.00,Bubbaloo Paleta Xtreme Mora 1Pz,5.00,3.55,1.45
,,,,5.00,Bubbaloo Paleta Pik Pop Mango Chamoy 1pz,15.00,8.55,6.45
45813,Caja 1,JENNY,02/01/2025,,,3.00,1.99,1.01
,,,,1.00,Clorets Plus 4pastillas,3.00,1.99,1.01
45814,Caja 1,JENNY,02/01/2025,,,212.00,206.70,5.30
,,,,1.00,COCA RETORNABLE 3LTS PAQ 6PZA,212.00,206.70,5.30
45815,Caja 1,JENNY,02/01/2025,,,80.00,1.00,79.00
,,,,1.00,Chip Telcel Con Saldo Activado 50 Saldo,80.00,1.00,79.00
45816,Caja 1,JENNY,02/01/2025,,,80.00,1.00,79.00
,,,,1.00,Chip Telcel Con Saldo Activado 50 Saldo,80.00,1.00,79.00
45817,Caja 1,JENNY,02/01/2025,,,16.00,13.44,2.56
,,,,1.00,Wapas queso 52gr,16.00,13.44,2.56
45818,Caja 1,JENNY,02/01/2025,,,47.01,39.70,7.31
,,,,1.00,Fresca 600ml,19.00,15.16,3.84
,,,,0.50,Azucar 1 Kg,10.00,8.96,1.04
,,,,0.14,Queso De Hebra,18.01,15.58,2.43
45819,Caja 1,JENNY,02/01/2025,,,52.00,42.63,9.37
,,,,1.00,Cheetos Extra Flamin Hot 58gr,14.00,11.97,2.03
,,,,1.00,Big Mix Queso 75g,19.00,15.79,3.21
,,,,1.00,Big Mix Inglesa Limon 75g,19.00,14.87,4.13
45820,Caja 1,JENNY,02/01/2025,,,46.00,38.48,7.52
,,,,1.00,Coca Retornable 3LTS 3068,39.00,34.45,4.55
,,,,1.00,Gelatina Lala General 125gr 020556,7.00,4.03,2.97
45821,Caja 1,JENNY,02/01/2025,,,20.00,16.30,3.70
,,,,0.19,Queso Fresco,20.00,16.30,3.70
45822,Caja 1,JENNY,02/01/2025,,,40.00,33.97,6.03
,,,,1.00,Sangria 3Lt,40.00,33.97,6.03
45823,Caja 1,JENNY,02/01/2025,,,133.00,123.53,9.47
,,,,3.00,Envios De Recargas,3.00,0.03,2.97
,,,,130.00,RECARGAS XTREME (MULTICEL-MINISUPER),130.00,123.50,6.50
45837,Caja 1,wendy,02/01/2025,,,29.00,1.00,28.00
,,,,1.00,Chip29 Telcel Sin Saldo Activar C/50 Saldo,29.00,1.00,28.00
45824,Caja 1,wendy,02/01/2025,,,65.00,58.75,6.25
,,,,2.00,Azucar 1 Kg,38.00,35.84,2.16
,,,,1.00,Cerillo Flama Grande,7.00,5.36,1.64
,,,,1.00,Nutrileche 1pza,20.00,17.55,2.45
45825,Caja 1,wendy,02/01/2025,,,16.00,11.70,4.30
,,,,1.00,Chile La Morena Rajas 210g,16.00,11.70,4.30
45826,Caja 1,wendy,02/01/2025,,,2544.00,2480.40,63.60
,,,,12.00,COCA RETORNABLE 3LTS PAQ 6PZA,2544.00,2480.40,63.60
