Dia,Fecha,DiaSemana,Producto,Cantidad,Venta,Compra,Utilidad
0.0,2020-01-01,Wednesday,7up 3L,1.0,28.0,23.6,4.4
0.0,2020-01-01,Wednesday,AZUCAR 500GR,1.0,8.5,7.34,1.16
0.0,2020-01-01,Wednesday,Ajo 1pza,1.0,5.0,3.04,1.96
0.0,2020-01-01,Wednesday,AriZona Sandia 680ml,1.0,15.0,11.17,3.83
0.0,2020-01-01,Wednesday,Ariel Oxianillos De 500gm,1.0,19.0,16.86,2.14
0.0,2020-01-01,Wednesday,Arroz 1kg,1.0,13.0,11.23,1.77
0.0,2020-01-01,Wednesday,Axion 500 gr,2.0,30.0,26.46,3.54
0.0,2020-01-01,Wednesday,Axion 720gr,1.0,16.5,14.76,1.74
0.0,2020-01-01,Wednesday,Azucar 1 Kg,3.0,49.5,43.769999999999996,5.7299999999999995
0.0,2020-01-01,Wednesday,Barrita Fresa 75G,1.0,10.0,8.4,1.6
0.0,2020-01-01,Wednesday,Big Mix Queso 70gr,1.0,10.0,8.34,1.66
0.0,2020-01-01,Wednesday,Bimbuñuelos C/6pzas 99gr,1.0,14.0,11.48,2.52
0.0,2020-01-01,Wednesday,Blanca Nieves 500g,1.0,16.0,13.63,2.37
0.0,2020-01-01,Wednesday,Bubbaloo General  1.00,1.0,1.0,0.7,0.3
0.0,2020-01-01,Wednesday,COCA COLA 2.5LT RET PAQ 8PZ,5.0,915.0,867.8499999999999,47.15
0.0,2020-01-01,Wednesday,Cafe Unico 50g,1.0,17.0,14.52,2.48
0.0,2020-01-01,Wednesday,Canela Sobre,2.0,12.0,4.0,8.0
0.0,2020-01-01,Wednesday,Canelitas Tubo 249g,2.0,44.0,36.96,7.04
0.0,2020-01-01,Wednesday,Cerillo Clasico Individual,2.0,4.0,1.84,2.16
0.0,2020-01-01,Wednesday,Cheetos Flamin Hot 52gr,2.0,14.0,12.0,2.0
0.0,2020-01-01,Wednesday,Chicle General,9.0,9.0,4.95,4.05
0.0,2020-01-01,Wednesday,Chile En Rajas La Costeña 105 Gr,1.0,6.0,4.84,1.16
0.0,2020-01-01,Wednesday,Chips Fuego 46g,1.0,13.0,10.55,2.45
0.0,2020-01-01,Wednesday,Chivacola Botella 600ml,1.0,15.0,9.59,5.41
0.0,2020-01-01,Wednesday,Chokis Rellena 90g,1.0,12.0,10.19,1.81
0.0,2020-01-01,Wednesday,Churrumais Flamas 60gr,1.0,7.0,6.0,1.0
0.0,2020-01-01,Wednesday,Cigarro Corto Individual 1Pza,6.0,24.0,15.9,8.1
0.0,2020-01-01,Wednesday,Cigarro Largo Individual 1pza,6.0,30.0,15.899999999999999,14.100000000000001
0.0,2020-01-01,Wednesday,Clarasol 500ml,1.0,5.0,3.84,1.16
0.0,2020-01-01,Wednesday,Clavel Abre Facil 360ml,1.0,14.0,12.31,1.69
