Dia,Fecha,DiaSemana,Producto,Cantidad,Venta,Compra,Utilidad
28.0,2019-01-29,Tuesday,AZUCAR 500 GR,6.0,39.0,35.94,3.06
28.0,2019-01-29,Tuesday,Agua Ciel 600ml,1.0,8.0,6.0,2.0
28.0,2019-01-29,Tuesday,Alkaseltzer C/U,2.0,6.0,2.96,3.04
28.0,2019-01-29,Tuesday,Aluminio Alu Rey 10m,1.0,12.0,6.25,5.75
28.0,2019-01-29,Tuesday,Arroz 1kg,1.5,20.25,17.39,2.86
28.0,2019-01-29,Tuesday,Atun El Dorado En Aceite 140gr,1.0,11.5,9.68,1.82
28.0,2019-01-29,Tuesday,Atun El Dorado En Agua 140gr,1.0,11.5,9.54,1.96
28.0,2019-01-29,Tuesday,Azucar 1 Kg,8.0,100.4,95.84,4.5600000000000005
28.0,2019-01-29,Tuesday,Barrita Piña 75G,1.0,10.0,8.4,1.6
28.0,2019-01-29,Tuesday,Bolsa Basura Mediana 1pza,3.0,9.0,4.5,4.5
28.0,2019-01-29,Tuesday,Borrador WS30,1.0,3.5,2.06,1.44
28.0,2019-01-29,Tuesday,Bubbaloo General  1.00,2.0,2.0,1.36,0.64
28.0,2019-01-29,Tuesday,COMISION COBRO DE SERVICIOS,1.0,10.0,3.0,7.0
28.0,2019-01-29,Tuesday,Cafe Unico Sobre 14g,2.0,9.0,6.08,2.92
28.0,2019-01-29,Tuesday,Canelitas 12p 120g,1.0,13.0,7.69,5.31
28.0,2019-01-29,Tuesday,Carlos V  20g,1.0,8.0,6.18,1.82
28.0,2019-01-29,Tuesday,Cerillo Flama Grande 4.0,1.0,5.0,3.62,1.38
28.0,2019-01-29,Tuesday,Cheetos Torcidos Naranja 52gr,1.0,7.0,5.56,1.44
28.0,2019-01-29,Tuesday,Chicle General,2.0,2.0,0.82,1.18
28.0,2019-01-29,Tuesday,Chile Guajillo 1pza,4.0,8.0,2.0,6.0
28.0,2019-01-29,Tuesday,Chocomilk Sobre 160g,1.0,17.0,15.4,1.6
28.0,2019-01-29,Tuesday,Cigarro Corto Individual 1Pza,1.0,4.0,2.23,1.77
28.0,2019-01-29,Tuesday,Cigarro Largo Individual 1pza,2.0,10.0,4.82,5.18
28.0,2019-01-29,Tuesday,Clorets cajita 30s 42gr,1.0,10.0,6.62,3.38
28.0,2019-01-29,Tuesday,Coca Cola 600ml,1.0,13.0,11.52,1.48
28.0,2019-01-29,Tuesday,Coca Cola De 500Ml,2.0,20.0,17.58,2.42
28.0,2019-01-29,Tuesday,Coca Cola Vidrio 1 1/4,1.0,16.0,14.13,1.87
28.0,2019-01-29,Tuesday,Coca Retornable 2.5 Lts,2.0,48.0,42.5,5.5
28.0,2019-01-29,Tuesday,Colores Mapita corto 12pz,1.0,12.0,9.71,2.29
